id,bucket,condition_tag,duration_sec,wer,is_silent_control,reference,hypothesis
036,whispered,whispered,1.850,0.0000,0,"Yes, I can hear you.","Yes, I can hear you."
037,whispered,whispered,1.850,0.0000,0,"I would rather not say.","I would rather not say."
038,whispered,whispered,1.500,0.0000,0,"Just a moment.","Just a moment."
039,whispered,whispered,2.750,0.0000,0,"I think so.","I think so."
040,whispered,whispered,2.450,0.0000,0,"Can you repeat that.","Can you repeat that?"
041,background-tv,short-phrase,2.000,0.0000,0,"I feel calmer today.","I feel calmer today."
042,background-tv,short-phrase,2.650,0.0000,0,"The same thing keeps happening.","The same thing keeps happening."
043,background-tv,short-phrase,2.000,0.0000,0,"I want to feel present again.","I want to feel present again."
044,background-tv,short-answer,1.300,0.6667,0,"I don't know.","I don't know whether for..."
045,background-tv,short-phrase,2.750,0.0000,0,"It is a heavy feeling in my chest.","It is a heavy feeling in my chest."
046,hvac-noise,short-phrase,2.150,0.0000,0,"I can barely focus right now.","I can barely focus right now."
047,hvac-noise,short-phrase,3.200,0.0000,0,"Could you say that again please.","Could you say that again, please?"
048,hvac-noise,short-answer,1.400,0.0000,0,"Yes, that fits.","Yes, that fits."
049,silent-control,silent-control,2.000,0.0000,1,"",""
050,silent-control,silent-control,2.500,0.0000,1,"",""
